c4mkYDTjJc-_lOM32YaPPQ,4
bozvcy7kl2kJ2mBdKVxyUg,4
oCls9DEDz5JXYLOxM-57Dw,3
w8_PFQ72PYxYc8ZF53aPJA,4
C7AngbgK1l4oaK3A6_ylfQ,3
MGbfqQrNN5E9CjibrANToQ,1
udG2EZW-tXZpNKthkYUE4w,1
R7TORgWQQb2RIlWrc5WN8g,4
mxPemrTMQNFx2AvnpQl4VQ,4
#NAME?,3
JdM7iuxhptOVd5P2J40rZg,1
vivFH2_uIcOyqel-cHmxLA,5
WTnwAd9QPcIuOLsp0DpSCw,5
hHIl6-y9s5aDwsYGEVoNdg,4
HMyHF9u3PeLuuehLd_unHQ,2
tK9HNA3tBIbfym7FinuoKw,1
P5bUL3Engv-2z6kKohB6qQ,4
B856VSGCvHAB-mil7JVprA,3
Wxd-EKF2Z4RHZUmwQ6Eeew,5
GHNnA-mtFXomPILnAvuXmw,3
b-RcJ-n6RqLrZfOziYmFOw,1
H3tPoj8yqmhZfkiol8F1yQ,4
1k6Yuk4Ww0LiXknsAe5-2g,4
dPOZ9v36PxalxPu1k440OA,3
FZgoYCyBMDha3uy-_ALNDA,5
OdqqWMexTw65RYOWJjCH_Q,3
XrVdBKCCQD7FPD9D3QEKtQ,3
Iqfc_JtaStZwPG66WsBkLg,5
xVndjy6wsAxGlOxPjBbZxw,3
SEiPIOK0o-kZEpAejAyp_g,5
8YtIgb2h4kxcwy7uSNLcgg,3
gSYxTvS3wDauhL4DZWIBEw,3
w0sh5lWijyW4C4WAI8eFZg,5
fSR_UX9kSeU4oOkrP4zacg,4
yVxVGS68r_IDNIFWTK0JTw,4
pQ254dv_0oyi0VHU1KDkZQ,5
GmpJb35J2SyIyKGoO2xgCg,4
#NAME?,1
cJVqHvDLN9g3GE4VfxDbZQ,3
SBEieOFv127lFdDSKfxlKQ,5
ANJ-jY5M8k-FKd7kr7x93w,3
gzpfljP4vcIf3UbLK9hEHg,5
OBkKevIQ5T9ZmHiB7IascQ,5
f_w0FtaBzHg3BP8WygR4Sg,4
IzMDOTUDdf03WBSLPSN4nA,2
QjNjVF-ZdWr-P4zUzXwpVA,5
H_nagZQmJPFbfLnYvOiV7w,2
UJcXryv3GnXik-dauejBdQ,3
Qpmco1Cpe0NLyqhjm_PlzA,2
9IF2ZMnkrZlvxCHcO0h1EQ,5
4jUG2x44weiwx-x7Q0GaDQ,5
AY56bYUFqedmZYMg_ygBXA,3
xV7P3uCsdLqi3ylzUQegAw,4
v0S0EwKSYs3Hdm67C1H3Ng,3
vivFH2_uIcOyqel-cHmxLA,5
dz7zZGkA_T7SJZf9zN2ziA,1
